anzahl,bezirk,geschlecht,vorname,freq_dev
27.0,charlottenburg-wilmersdorf,m,Konstantin,+106%
16.0,charlottenburg-wilmersdorf,m,Caspar,+100%
18.0,charlottenburg-wilmersdorf,m,Georg,+75%
41.0,charlottenburg-wilmersdorf,m,Ali,+70%
14.0,charlottenburg-wilmersdorf,m,Leander,+68%
15.0,charlottenburg-wilmersdorf,m,Otto,+68%
31.0,charlottenburg-wilmersdorf,m,Julian,+67%
17.0,charlottenburg-wilmersdorf,w,Theresa,+144%
12.0,charlottenburg-wilmersdorf,w,Ada,+86%
10.0,charlottenburg-wilmersdorf,w,Romy,+84%
19.0,charlottenburg-wilmersdorf,w,Ava,+73%
11.0,charlottenburg-wilmersdorf,w,Anouk,+63%
21.0,charlottenburg-wilmersdorf,w,Josephine,+60%
14.0,charlottenburg-wilmersdorf,w,Lotte,+58%
11.0,friedrichshain-kreuzberg,m,Konrad,+96%
40.0,friedrichshain-kreuzberg,m,Ali,+87%
15.0,friedrichshain-kreuzberg,m,Milo,+60%
18.0,friedrichshain-kreuzberg,m,Carl,+53%
9.0,friedrichshain-kreuzberg,m,Mohammed,+48%
11.0,friedrichshain-kreuzberg,m,Till,+45%
9.0,friedrichshain-kreuzberg,m,Leonardo,+45%
12.0,friedrichshain-kreuzberg,w,Florentine,+103%
10.0,friedrichshain-kreuzberg,w,Amy,+89%
18.0,friedrichshain-kreuzberg,w,Alma,+82%
26.0,friedrichshain-kreuzberg,w,Paula,+80%
10.0,friedrichshain-kreuzberg,w,Ada,+75%
17.0,friedrichshain-kreuzberg,w,Carlotta,+73%
10.0,friedrichshain-kreuzberg,w,Sofie,+69%
7.0,lichtenberg,m,Nico,+154%
15.0,lichtenberg,m,Pepe,+144%
12.0,lichtenberg,m,Nils,+133%
7.0,lichtenberg,m,Luke,+115%
18.0,lichtenberg,m,Oliver,+107%
9.0,lichtenberg,m,Hannes,+104%
6.0,lichtenberg,m,Marlon,+96%
9.0,lichtenberg,w,Isabelle,+157%
14.0,lichtenberg,w,Lucy,+146%
17.0,lichtenberg,w,Isabella,+132%
8.0,lichtenberg,w,Jolie,+114%
12.0,lichtenberg,w,Alina,+96%
15.0,lichtenberg,w,Nele,+80%
9.0,lichtenberg,w,Amelia,+73%
8.0,marzahn-hellersdorf,m,John,+240%
4.0,marzahn-hellersdorf,m,Pascal,+220%
8.0,marzahn-hellersdorf,m,Florian,+202%
3.0,marzahn-hellersdorf,m,Jason,+184%
6.0,marzahn-hellersdorf,m,Fynn,+174%
6.0,marzahn-hellersdorf,m,Timo,+170%
7.0,marzahn-hellersdorf,m,Tom,+170%
9.0,marzahn-hellersdorf,w,Jasmin,+213%
4.0,marzahn-hellersdorf,w,Miriam,+181%
4.0,marzahn-hellersdorf,w,Finja,+160%
7.0,marzahn-hellersdorf,w,Klara,+156%
7.0,marzahn-hellersdorf,w,Melina,+147%
5.0,marzahn-hellersdorf,w,Lucy,+144%
4.0,marzahn-hellersdorf,w,Isabell,+131%
14.0,mitte,m,Omar,+107%
15.0,mitte,m,Emir,+93%
14.0,mitte,m,Yasin,+80%
17.0,mitte,m,Hamza,+80%
14.0,mitte,m,Ferdinand,+77%
12.0,mitte,m,Ibrahim,+67%
33.0,mitte,m,Ali,+57%
17.0,mitte,w,Fatima,+182%
17.0,mitte,w,Sara,+104%
18.0,mitte,w,Amalia,+90%
16.0,mitte,w,Valentina,+73%
15.0,mitte,w,Nur,+55%
14.0,mitte,w,Lucia,+50%
7.0,mitte,w,Nisa,+41%
21.0,neukoelln,m,Hamza,+221%
25.0,neukoelln,m,Yusuf,+187%
13.0,neukoelln,m,Emir,+141%
16.0,neukoelln,m,Amir,+136%
12.0,neukoelln,m,Malik,+127%
10.0,neukoelln,m,Mustafa,+122%
5.0,neukoelln,m,Berat,+107%
8.0,neukoelln,w,Nisa,+132%
13.0,neukoelln,w,Zeynep,+109%
13.0,neukoelln,w,Nur,+94%
7.0,neukoelln,w,Vanessa,+91%
11.0,neukoelln,w,Valentina,+72%
17.0,neukoelln,w,Lilly,+71%
19.0,neukoelln,w,Elif,+60%
16.0,pankow,m,Till,+128%
18.0,pankow,m,Georg,+114%
19.0,pankow,m,Pepe,+109%
20.0,pankow,m,Matteo,+103%
13.0,pankow,m,Albert,+95%
12.0,pankow,m,Willi,+93%
11.0,pankow,m,Nicolas,+90%
25.0,pankow,w,Frieda,+152%
20.0,pankow,w,Paulina,+147%
15.0,pankow,w,Henriette,+139%
35.0,pankow,w,Greta,+129%
17.0,pankow,w,Mara,+105%
25.0,pankow,w,Nele,+103%
13.0,pankow,w,Tilda,+96%
5.0,reinickendorf,m,Dean,+277%
4.0,reinickendorf,m,Jayden,+200%
7.0,reinickendorf,m,Lennard,+191%
6.0,reinickendorf,m,Can,+184%
4.0,reinickendorf,m,William,+160%
4.0,reinickendorf,m,Emir,+134%
6.0,reinickendorf,m,Muhammed,+130%
9.0,reinickendorf,w,Maja,+200%
5.0,reinickendorf,w,Amira,+196%
5.0,reinickendorf,w,Leyla,+160%
9.0,reinickendorf,w,Lara,+155%
9.0,reinickendorf,w,Elif,+139%
9.0,reinickendorf,w,Katharina,+130%
9.0,reinickendorf,w,Leonie,+101%
9.0,spandau,m,Philip,+152%
12.0,spandau,m,Emilio,+104%
9.0,spandau,m,Lennox,+76%
7.0,spandau,m,Matti,+75%
19.0,spandau,m,Joshua,+75%
8.0,spandau,m,Antonio,+72%
14.0,spandau,m,Christian,+65%
14.0,spandau,w,Alma,+105%
7.0,spandau,w,Aurelia,+101%
11.0,spandau,w,Sara,+87%
9.0,spandau,w,Melissa,+69%
7.0,spandau,w,Rose,+56%
5.0,spandau,w,Lilli,+54%
7.0,spandau,w,Milena,+54%
5.0,steglitz-zehlendorf,m,Damian,+198%
4.0,steglitz-zehlendorf,m,Lasse,+183%
7.0,steglitz-zehlendorf,m,Lennard,+172%
3.0,steglitz-zehlendorf,m,Philip,+152%
8.0,steglitz-zehlendorf,m,Aaron,+142%
4.0,steglitz-zehlendorf,m,Andreas,+135%
16.0,steglitz-zehlendorf,m,Theodor,+133%
5.0,steglitz-zehlendorf,w,Michelle,+225%
4.0,steglitz-zehlendorf,w,Friederike,+169%
8.0,steglitz-zehlendorf,w,Antonia,+147%
9.0,steglitz-zehlendorf,w,Elisa,+138%
11.0,steglitz-zehlendorf,w,Luisa,+134%
4.0,steglitz-zehlendorf,w,Isabell,+125%
6.0,steglitz-zehlendorf,w,Lotta,+122%
11.0,tempelhof-schoeneberg,m,Ludwig,+100%
14.0,tempelhof-schoeneberg,m,Benedikt,+70%
20.0,tempelhof-schoeneberg,m,Raphael,+54%
41.0,tempelhof-schoeneberg,m,Jakob,+53%
29.0,tempelhof-schoeneberg,m,Benjamin,+51%
28.0,tempelhof-schoeneberg,m,Vincent,+51%
12.0,tempelhof-schoeneberg,m,Franz,+46%
21.0,tempelhof-schoeneberg,w,Ava,+84%
12.0,tempelhof-schoeneberg,w,Ada,+78%
22.0,tempelhof-schoeneberg,w,Ela,+73%
15.0,tempelhof-schoeneberg,w,Isabel,+71%
13.0,tempelhof-schoeneberg,w,Milena,+68%
18.0,tempelhof-schoeneberg,w,Louise,+63%
