bezirk,geschlecht,vorname,anzahl,freq_dev
Charlottenburg-Wilmersdorf,m,Rafael,12.0,106
Charlottenburg-Wilmersdorf,m,Carl,19.0,105
Charlottenburg-Wilmersdorf,m,Nicolas,11.0,88
Charlottenburg-Wilmersdorf,m,Leopold,15.0,72
Charlottenburg-Wilmersdorf,m,Jakob,51.0,70
Charlottenburg-Wilmersdorf,m,Ferdinand,13.0,69
Charlottenburg-Wilmersdorf,m,Andreas,17.0,64
Charlottenburg-Wilmersdorf,w,Amalia,13.0,108
Charlottenburg-Wilmersdorf,w,Mina,21.0,105
Charlottenburg-Wilmersdorf,w,Viktoria,18.0,82
Charlottenburg-Wilmersdorf,w,Alma,16.0,77
Charlottenburg-Wilmersdorf,w,Matilda,21.0,76
Charlottenburg-Wilmersdorf,w,Magdalena,19.0,75
Charlottenburg-Wilmersdorf,w,Maya,21.0,57
Friedrichshain-Kreuzberg,m,Hannes,14.0,164
Friedrichshain-Kreuzberg,m,Willi,9.0,109
Friedrichshain-Kreuzberg,m,Yusuf,14.0,103
Friedrichshain-Kreuzberg,m,Lasse,10.0,91
Friedrichshain-Kreuzberg,m,Juri,8.0,86
Friedrichshain-Kreuzberg,m,Pepe,10.0,74
Friedrichshain-Kreuzberg,m,Matti,7.0,61
Friedrichshain-Kreuzberg,w,Paula,18.0,86
Friedrichshain-Kreuzberg,w,Rosa,13.0,83
Friedrichshain-Kreuzberg,w,Lucy,9.0,80
Friedrichshain-Kreuzberg,w,Elif,12.0,68
Friedrichshain-Kreuzberg,w,Linda,6.0,64
Friedrichshain-Kreuzberg,w,Friederike,7.0,63
Friedrichshain-Kreuzberg,w,Carlotta,11.0,62
Lichtenberg,m,John,13.0,154
Lichtenberg,m,Oskar,39.0,151
Lichtenberg,m,Timo,10.0,142
Lichtenberg,m,Robin,6.0,131
Lichtenberg,m,Pascal,12.0,128
Lichtenberg,m,Willi,7.0,126
Lichtenberg,m,Tom,17.0,102
Lichtenberg,w,Pia,25.0,155
Lichtenberg,w,Jolie,8.0,105
Lichtenberg,w,Florentine,7.0,102
Lichtenberg,w,Lea,27.0,90
Lichtenberg,w,Alexandra,12.0,85
Lichtenberg,w,Frida,9.0,84
Lichtenberg,w,Frieda,10.0,77
Marzahn-Hellersdorf,m,Nico,8.0,310
Marzahn-Hellersdorf,m,Oliver,9.0,220
Marzahn-Hellersdorf,m,Dean,6.0,189
Marzahn-Hellersdorf,m,Maxim,7.0,169
Marzahn-Hellersdorf,m,Jayden,4.0,164
Marzahn-Hellersdorf,m,Joel,10.0,149
Marzahn-Hellersdorf,m,Noel,5.0,136
Marzahn-Hellersdorf,w,Isabell,7.0,388
Marzahn-Hellersdorf,w,Isabelle,4.0,238
Marzahn-Hellersdorf,w,Alina,7.0,186
Marzahn-Hellersdorf,w,Jolie,4.0,178
Marzahn-Hellersdorf,w,Lilly,10.0,177
Marzahn-Hellersdorf,w,Luna,4.0,152
Marzahn-Hellersdorf,w,Nele,8.0,141
Mitte,m,Mohammed,10.0,87
Mitte,m,Hans,12.0,86
Mitte,m,Ali,35.0,85
Mitte,m,Amir,10.0,83
Mitte,m,Ahmad,8.0,70
Mitte,m,Mats,12.0,68
Mitte,m,Johannes,22.0,68
Mitte,w,Fatima,11.0,93
Mitte,w,Elif,16.0,72
Mitte,w,Julia,28.0,65
Mitte,w,Clara,25.0,64
Mitte,w,Nisa,11.0,60
Mitte,w,Victoria,22.0,58
Mitte,w,Amina,7.0,57
Neukölln,m,Ali,46.0,259
Neukölln,m,Ibrahim,11.0,159
