bezirk,vorname,anzahl,freq_dev
Charlottenburg-Wilmersdorf,Theresa,17,244
Charlottenburg-Wilmersdorf,Konstantin,27,206
Charlottenburg-Wilmersdorf,Caspar,16,200
Charlottenburg-Wilmersdorf,Alicia,11,199
Charlottenburg-Wilmersdorf,Ada,12,184
Charlottenburg-Wilmersdorf,Georg,18,175
Charlottenburg-Wilmersdorf,Ali,43,175
Charlottenburg-Wilmersdorf,Ava,19,173
Charlottenburg-Wilmersdorf,Leander,14,168
Charlottenburg-Wilmersdorf,Otto,15,168
Mitte,Fatima,17,282
Mitte,Meryem,13,241
Mitte,Mohamed,16,228
Mitte,Mohammad,19,222
Mitte,Omar,14,207
Mitte,Sara,17,204
Mitte,Emir,15,193
Mitte,Amalia,18,190
Mitte,Hamza,17,180
Mitte,Ferdinand,14,177
Neukölln,Hamza,21,321
Neukölln,Yusuf,25,287
Neukölln,Mariam,12,259
Neukölln,Youssef,11,259
Neukölln,Emir,13,241
Neukölln,Amir,16,236
Neukölln,Malik,12,227
Neukölln,Alessio,11,214
Neukölln,Zeynep,13,209
Neukölln,Ömer,11,206
Pankow,Frieda,25,252
Pankow,Paulina,20,247
Pankow,Henriette,15,239
Pankow,Ruth,11,231
Pankow,Greta,35,229
Pankow,Till,16,228
Pankow,Georg,18,214
Pankow,Pepe,19,209
Pankow,Mara,17,205
Pankow,Matteo,20,203
Reinickendorf,Maja,9,300
Reinickendorf,Lara,9,255
Reinickendorf,Elif,9,237
Reinickendorf,Katharina,9,230
Reinickendorf,Leonie,9,201
Reinickendorf,Liam,11,200
Reinickendorf,Marie,26,133
Reinickendorf,Elias,13,123
Reinickendorf,Ben,8,122
Reinickendorf,Jonas,8,101
Tempelhof-Schöneberg,Deniz,11,245
Tempelhof-Schöneberg,Nikolas,13,228
Tempelhof-Schöneberg,Ludwig,11,200
Tempelhof-Schöneberg,Ada,13,191
Tempelhof-Schöneberg,Aylin,11,188
Tempelhof-Schöneberg,Ava,21,184
Tempelhof-Schöneberg,Bilal,11,183
Tempelhof-Schöneberg,Valerie,11,181
Tempelhof-Schöneberg,Ela,22,173
Tempelhof-Schöneberg,Isabel,15,171
Friedrichshain-Kreuzberg,Anh,29,409
Friedrichshain-Kreuzberg,Minh,18,290
Friedrichshain-Kreuzberg,Bao,12,281
Friedrichshain-Kreuzberg,Tony,16,269
Friedrichshain-Kreuzberg,Gia,12,238
Friedrichshain-Kreuzberg,Selma,11,207
Friedrichshain-Kreuzberg,Florentine,12,203
Friedrichshain-Kreuzberg,Konrad,11,196
Friedrichshain-Kreuzberg,Bảo,12,187
Friedrichshain-Kreuzberg,Ali,40,184
Lichtenberg,Pepe,15,244
Lichtenberg,Lucy,14,243
Lichtenberg,Nils,12,233
Lichtenberg,Isabella,17,232
Lichtenberg,Oliver,18,207
Lichtenberg,Alina,12,196
Lichtenberg,Tom,14,194
Lichtenberg,Louis,31,190
Lichtenberg,Fynn,11,180
Lichtenberg,Nele,15,180
Marzahn-Hellersdorf,Finn,12,230
Marzahn-Hellersdorf,Mia,18,203
Marzahn-Hellersdorf,Ben,13,191
Marzahn-Hellersdorf,Oskar,12,171
Marzahn-Hellersdorf,Jonas,13,157
Marzahn-Hellersdorf,Alexander,21,156
Marzahn-Hellersdorf,Luca,11,156
Marzahn-Hellersdorf,Felix,12,153
Marzahn-Hellersdorf,Emma,13,148
Marzahn-Hellersdorf,Marie,27,132
Spandau,Alma,14,205
Spandau,Emilio,12,204
Spandau,Sara,11,187
Spandau,noch,21,178
Spandau,Joshua,19,175
Spandau,Christian,14,165
Spandau,Gabriel,16,163
Spandau,Aaron,16,162
Spandau,Milan,22,155
Spandau,Helena,18,148
Steglitz-Zehlendorf,Theodor,16,233
Steglitz-Zehlendorf,Luisa,11,233
Steglitz-Zehlendorf,David,12,207
Steglitz-Zehlendorf,Emily,11,192
Steglitz-Zehlendorf,Maximilian,20,192
Steglitz-Zehlendorf,Elisabeth,12,177
Steglitz-Zehlendorf,Sophia,14,165
Steglitz-Zehlendorf,Maria,19,161
Steglitz-Zehlendorf,Emma,14,155
Steglitz-Zehlendorf,Jonas,12,141
Treptow-Köpenick,Erik,11,253
Treptow-Köpenick,Henry,12,223
Treptow-Köpenick,Finn,13,207
Treptow-Köpenick,Mathilda,11,191
Treptow-Köpenick,Jonathan,11,164
Treptow-Köpenick,Theodor,13,161
Treptow-Köpenick,Emil,15,159
Treptow-Köpenick,Maximilian,18,148
Treptow-Köpenick,Jonas,13,131
Treptow-Köpenick,Luise,11,130
