bezirk,year,anzahl
Charlottenburg-Wilmersdorf,2012,3300
Charlottenburg-Wilmersdorf,2013,3231
Charlottenburg-Wilmersdorf,2014,3412
Charlottenburg-Wilmersdorf,2015,3388
Charlottenburg-Wilmersdorf,2016,3550
Charlottenburg-Wilmersdorf,2017,3480
Friedrichshain-Kreuzberg,2012,2797
Friedrichshain-Kreuzberg,2013,2829
Friedrichshain-Kreuzberg,2014,3113
Friedrichshain-Kreuzberg,2015,3194
Friedrichshain-Kreuzberg,2016,3520
Friedrichshain-Kreuzberg,2017,3577
Lichtenberg,2012,1768
Lichtenberg,2013,1929
Lichtenberg,2014,2034
Lichtenberg,2015,2054
Lichtenberg,2016,2187
Lichtenberg,2017,2191
Marzahn-Hellersdorf,2012,896
Marzahn-Hellersdorf,2013,925
Marzahn-Hellersdorf,2014,890
Marzahn-Hellersdorf,2015,1010
Marzahn-Hellersdorf,2016,1039
Marzahn-Hellersdorf,2017,1124
Mitte,2012,3597
Mitte,2013,3401
Mitte,2014,3628
Mitte,2015,3641
Mitte,2016,3850
Mitte,2017,3835
Neukölln,2012,2591
Neukölln,2013,2723
Neukölln,2014,2754
Neukölln,2015,2760
Neukölln,2016,2750
Neukölln,2017,2378
Pankow,2012,2433
Pankow,2013,2340
Pankow,2014,2399
Pankow,2015,2574
Pankow,2016,2555
Pankow,2017,2548
Reinickendorf,2012,1165
Reinickendorf,2013,1260
Reinickendorf,2014,1304
Reinickendorf,2015,1239
Reinickendorf,2016,1221
Reinickendorf,2017,1190
Spandau,2012,2298
Spandau,2013,2229
Spandau,2014,2410
Spandau,2015,2415
Spandau,2016,2551
Spandau,2017,2533
Steglitz-Zehlendorf,2012,999
Steglitz-Zehlendorf,2013,922
Steglitz-Zehlendorf,2014,957
Steglitz-Zehlendorf,2015,925
Steglitz-Zehlendorf,2016,1089
Steglitz-Zehlendorf,2017,1076
Tempelhof-Schöneberg,2012,3150
Tempelhof-Schöneberg,2013,3332
Tempelhof-Schöneberg,2014,3308
Tempelhof-Schöneberg,2015,3397
Tempelhof-Schöneberg,2016,3636
Tempelhof-Schöneberg,2017,3692
Treptow-Köpenick,2012,1001
Treptow-Köpenick,2013,972
Treptow-Köpenick,2014,1035
Treptow-Köpenick,2015,963
Treptow-Köpenick,2016,1127
Treptow-Köpenick,2017,1208
