bezirk,geschlecht,vorname,anzahl,freq_dev
Charlottenburg-Wilmersdorf,m,Konstantin,27.0,106
Charlottenburg-Wilmersdorf,m,Caspar,16.0,100
Charlottenburg-Wilmersdorf,m,Georg,18.0,75
Charlottenburg-Wilmersdorf,m,Ali,41.0,70
Charlottenburg-Wilmersdorf,m,Leander,14.0,68
Charlottenburg-Wilmersdorf,m,Otto,15.0,68
Charlottenburg-Wilmersdorf,m,Julian,31.0,67
Charlottenburg-Wilmersdorf,w,Theresa,17.0,144
Charlottenburg-Wilmersdorf,w,Ada,12.0,86
Charlottenburg-Wilmersdorf,w,Romy,10.0,84
Charlottenburg-Wilmersdorf,w,Ava,19.0,73
Charlottenburg-Wilmersdorf,w,Anouk,11.0,63
Charlottenburg-Wilmersdorf,w,Josephine,21.0,60
Charlottenburg-Wilmersdorf,w,Lotte,14.0,58
Friedrichshain-Kreuzberg,m,Konrad,11.0,96
Friedrichshain-Kreuzberg,m,Ali,40.0,87
Friedrichshain-Kreuzberg,m,Milo,15.0,60
Friedrichshain-Kreuzberg,m,Carl,18.0,53
Friedrichshain-Kreuzberg,m,Mohammed,9.0,48
Friedrichshain-Kreuzberg,m,Till,11.0,45
Friedrichshain-Kreuzberg,m,Leonardo,9.0,45
Friedrichshain-Kreuzberg,w,Florentine,12.0,103
Friedrichshain-Kreuzberg,w,Amy,10.0,89
Friedrichshain-Kreuzberg,w,Alma,18.0,82
Friedrichshain-Kreuzberg,w,Paula,26.0,80
Friedrichshain-Kreuzberg,w,Ada,10.0,75
Friedrichshain-Kreuzberg,w,Carlotta,17.0,73
Friedrichshain-Kreuzberg,w,Sofie,10.0,69
Lichtenberg,m,Nico,7.0,154
Lichtenberg,m,Pepe,15.0,144
Lichtenberg,m,Nils,12.0,133
Lichtenberg,m,Luke,7.0,115
Lichtenberg,m,Oliver,18.0,107
Lichtenberg,m,Hannes,9.0,104
Lichtenberg,m,Marlon,6.0,96
Lichtenberg,w,Isabelle,9.0,157
Lichtenberg,w,Lucy,14.0,146
Lichtenberg,w,Isabella,17.0,132
Lichtenberg,w,Jolie,8.0,114
Lichtenberg,w,Alina,12.0,96
Lichtenberg,w,Nele,15.0,80
Lichtenberg,w,Amelia,9.0,73
Marzahn-Hellersdorf,m,John,8.0,240
Marzahn-Hellersdorf,m,Pascal,4.0,220
Marzahn-Hellersdorf,m,Florian,8.0,202
Marzahn-Hellersdorf,m,Jason,3.0,184
Marzahn-Hellersdorf,m,Fynn,6.0,174
Marzahn-Hellersdorf,m,Timo,6.0,170
Marzahn-Hellersdorf,m,Tom,7.0,170
Marzahn-Hellersdorf,w,Jasmin,9.0,213
Marzahn-Hellersdorf,w,Miriam,4.0,181
Marzahn-Hellersdorf,w,Finja,4.0,160
Marzahn-Hellersdorf,w,Klara,7.0,156
Marzahn-Hellersdorf,w,Melina,7.0,147
Marzahn-Hellersdorf,w,Lucy,5.0,144
Marzahn-Hellersdorf,w,Isabell,4.0,131
Mitte,m,Omar,14.0,107
Mitte,m,Emir,15.0,93
Mitte,m,Yasin,14.0,80
Mitte,m,Hamza,17.0,80
Mitte,m,Ferdinand,14.0,77
Mitte,m,Ibrahim,12.0,67
Mitte,m,Ali,33.0,57
Mitte,w,Fatima,17.0,182
Mitte,w,Sara,17.0,104
Mitte,w,Amalia,18.0,90
Mitte,w,Valentina,16.0,73
Mitte,w,Nur,15.0,55
Mitte,w,Lucia,14.0,50
Mitte,w,Nisa,7.0,41
Neukölln,m,Hamza,21.0,221
Neukölln,m,Yusuf,25.0,187
Neukölln,m,Emir,13.0,141
Neukölln,m,Amir,16.0,136
Neukölln,m,Malik,12.0,127
Neukölln,m,Mustafa,10.0,122
Neukölln,m,Berat,5.0,107
Neukölln,w,Nisa,8.0,132
Neukölln,w,Zeynep,13.0,109
Neukölln,w,Nur,13.0,94
Neukölln,w,Vanessa,7.0,91
Neukölln,w,Valentina,11.0,72
Neukölln,w,Lilly,17.0,71
Neukölln,w,Elif,19.0,60
Pankow,m,Till,16.0,128
Pankow,m,Georg,18.0,114
Pankow,m,Pepe,19.0,109
Pankow,m,Matteo,20.0,103
Pankow,m,Albert,13.0,95
Pankow,m,Willi,12.0,93
Pankow,m,Nicolas,11.0,90
Pankow,w,Frieda,25.0,152
Pankow,w,Paulina,20.0,147
Pankow,w,Henriette,15.0,139
Pankow,w,Greta,35.0,129
Pankow,w,Mara,17.0,105
Pankow,w,Nele,25.0,103
Pankow,w,Tilda,13.0,96
Reinickendorf,m,Dean,5.0,277
Reinickendorf,m,Jayden,4.0,200
Reinickendorf,m,Lennard,7.0,191
Reinickendorf,m,Can,6.0,184
Reinickendorf,m,William,4.0,160
Reinickendorf,m,Emir,4.0,134
Reinickendorf,m,Muhammed,6.0,130
Reinickendorf,w,Maja,9.0,200
Reinickendorf,w,Amira,5.0,196
Reinickendorf,w,Leyla,5.0,160
Reinickendorf,w,Lara,9.0,155
Reinickendorf,w,Elif,9.0,139
Reinickendorf,w,Katharina,9.0,130
Reinickendorf,w,Leonie,9.0,101
Spandau,m,Philip,9.0,152
Spandau,m,Emilio,12.0,104
Spandau,m,Lennox,9.0,76
Spandau,m,Matti,7.0,75
Spandau,m,Joshua,19.0,75
Spandau,m,Antonio,8.0,72
Spandau,m,Christian,14.0,65
Spandau,w,Alma,14.0,105
Spandau,w,Aurelia,7.0,101
Spandau,w,Sara,11.0,87
Spandau,w,Melissa,9.0,69
Spandau,w,Rose,7.0,56
Spandau,w,Lilli,5.0,54
Spandau,w,Milena,7.0,54
Steglitz-Zehlendorf,m,Damian,5.0,198
Steglitz-Zehlendorf,m,Lasse,4.0,183
Steglitz-Zehlendorf,m,Lennard,7.0,172
Steglitz-Zehlendorf,m,Philip,3.0,152
Steglitz-Zehlendorf,m,Aaron,8.0,142
Steglitz-Zehlendorf,m,Andreas,4.0,135
Steglitz-Zehlendorf,m,Theodor,16.0,133
Steglitz-Zehlendorf,w,Michelle,5.0,225
Steglitz-Zehlendorf,w,Friederike,4.0,169
Steglitz-Zehlendorf,w,Antonia,8.0,147
Steglitz-Zehlendorf,w,Elisa,9.0,138
Steglitz-Zehlendorf,w,Luisa,11.0,134
Steglitz-Zehlendorf,w,Isabell,4.0,125
Steglitz-Zehlendorf,w,Lotta,6.0,122
Tempelhof-Schöneberg,m,Ludwig,11.0,100
Tempelhof-Schöneberg,m,Benedikt,14.0,70
Tempelhof-Schöneberg,m,Raphael,20.0,54
Tempelhof-Schöneberg,m,Jakob,41.0,53
Tempelhof-Schöneberg,m,Benjamin,29.0,51
Tempelhof-Schöneberg,m,Vincent,28.0,51
Tempelhof-Schöneberg,m,Franz,12.0,46
Tempelhof-Schöneberg,w,Ava,21.0,84
Tempelhof-Schöneberg,w,Ada,12.0,78
Tempelhof-Schöneberg,w,Ela,22.0,73
Tempelhof-Schöneberg,w,Isabel,15.0,71
Tempelhof-Schöneberg,w,Milena,13.0,68
Tempelhof-Schöneberg,w,Louise,18.0,63
Tempelhof-Schöneberg,w,Elena,19.0,52
Treptow-Köpenick,m,Mattis,7.0,184
Treptow-Köpenick,m,Willi,5.0,176
Treptow-Köpenick,m,Ole,8.0,165
Treptow-Köpenick,m,Erik,11.0,153
Treptow-Köpenick,m,Fritz,7.0,131
Treptow-Köpenick,m,Edgar,8.0,130
Treptow-Köpenick,m,Pepe,6.0,126
Treptow-Köpenick,w,Merle,10.0,234
Treptow-Köpenick,w,Elise,9.0,193
Treptow-Köpenick,w,Ronja,5.0,190
Treptow-Köpenick,w,Rosalie,7.0,188
Treptow-Köpenick,w,Pia,7.0,150
Treptow-Köpenick,w,Isabell,5.0,140
Treptow-Köpenick,w,Lou,5.0,138
