bezirk,vorname,anzahl,freq_dev
Charlottenburg-Wilmersdorf,Caspar,21,269
Charlottenburg-Wilmersdorf,William,14,228
Charlottenburg-Wilmersdorf,Hugo,15,220
Charlottenburg-Wilmersdorf,Carla,12,212
Charlottenburg-Wilmersdorf,Julius,32,211
Charlottenburg-Wilmersdorf,Leonardo,14,187
Charlottenburg-Wilmersdorf,Helena,32,187
Charlottenburg-Wilmersdorf,Isabel,15,186
Charlottenburg-Wilmersdorf,Carl,23,176
Charlottenburg-Wilmersdorf,Liya,14,175
Friedrichshain-Kreuzberg,Anh,27,264
Friedrichshain-Kreuzberg,Gia,13,228
Friedrichshain-Kreuzberg,Minh,11,225
Friedrichshain-Kreuzberg,Bảo,17,215
Friedrichshain-Kreuzberg,James,12,214
Friedrichshain-Kreuzberg,An,14,203
Friedrichshain-Kreuzberg,Julia,23,181
Friedrichshain-Kreuzberg,Simon,16,181
Friedrichshain-Kreuzberg,Ada,12,165
Friedrichshain-Kreuzberg,Ferdinand,13,164
Mitte,Muhammad,16,289
Mitte,Fatima,17,251
Mitte,Amira,15,237
Mitte,Mehmet,13,219
Mitte,Omar,20,218
Mitte,Mustafa,11,205
Mitte,Adam,41,202
Mitte,Ibrahim,19,196
Mitte,Ali,53,185
Mitte,Ludwig,12,184
Reinickendorf,Adrian,8,249
Reinickendorf,Ali,13,219
Reinickendorf,Mila,9,167
Reinickendorf,Sophia,9,125
Reinickendorf,Emma,11,123
Reinickendorf,Leon,8,107
Reinickendorf,Noah,8,104
Reinickendorf,Elias,8,104
Reinickendorf,Maximilian,9,100
Reinickendorf,Maria,11,91
Spandau,Rafael,12,243
Spandau,Juna,15,202
Spandau,Louisa,13,198
Spandau,Fabian,13,192
Spandau,Josephine,14,171
Spandau,noch,17,171
Spandau,Erik,20,166
Spandau,Isabella,15,165
Spandau,Lia,14,159
Spandau,Sebastian,11,157
Tempelhof-Schöneberg,Eleni,13,233
Tempelhof-Schöneberg,Isa,11,232
Tempelhof-Schöneberg,Ela,18,217
Tempelhof-Schöneberg,Luka,11,184
Tempelhof-Schöneberg,Nisa,12,183
Tempelhof-Schöneberg,Christian,16,179
Tempelhof-Schöneberg,Ava,25,178
Tempelhof-Schöneberg,Lou,15,171
Tempelhof-Schöneberg,Nur,17,170
Tempelhof-Schöneberg,Samuel,26,170
Treptow-Köpenick,Pauline,11,242
Treptow-Köpenick,Mathilda,11,214
Treptow-Köpenick,Hannah,11,171
Treptow-Köpenick,Felix,16,171
Treptow-Köpenick,Jonas,13,152
Treptow-Köpenick,Oskar,13,146
Treptow-Köpenick,Emma,17,142
Treptow-Köpenick,Leon,14,140
Treptow-Köpenick,Luca,11,139
Treptow-Köpenick,Emil,15,137
Lichtenberg,Fynn,13,237
Lichtenberg,Maxim,15,218
Lichtenberg,Valentina,14,202
Lichtenberg,Luna,14,197
Lichtenberg,Oskar,36,192
Lichtenberg,Pauline,18,187
Lichtenberg,Tim,13,183
Lichtenberg,Josephine,12,177
Lichtenberg,Leni,15,172
Lichtenberg,Luisa,18,162
Neukölln,Mariam,11,321
Neukölln,Elif,20,288
Neukölln,Ömer,12,269
Neukölln,Ela,11,265
Neukölln,Nur,12,240
Neukölln,Emir,13,234
Neukölln,Amir,14,199
Neukölln,Ali,32,193
Neukölln,Mira,22,179
Neukölln,Daniel,17,169
Pankow,Käthe,17,268
Pankow,Till,16,245
Pankow,Alfred,11,239
Pankow,Martha,23,226
Pankow,Isabella,27,224
Pankow,Wilhelm,20,219
Pankow,Josefine,11,211
Pankow,Alma,20,207
Pankow,Lotta,22,202
Pankow,Nils,14,198
Steglitz-Zehlendorf,Clara,11,204
Steglitz-Zehlendorf,Alexander,23,176
Steglitz-Zehlendorf,Leon,14,169
Steglitz-Zehlendorf,Sophia,13,163
Steglitz-Zehlendorf,Emilia,19,158
Steglitz-Zehlendorf,Charlotte,20,150
Steglitz-Zehlendorf,Sophie,23,144
Steglitz-Zehlendorf,Emma,14,141
Steglitz-Zehlendorf,Maria,18,134
Steglitz-Zehlendorf,Marie,25,124
Marzahn-Hellersdorf,Lena,11,250
Marzahn-Hellersdorf,Leonard,12,224
Marzahn-Hellersdorf,Ben,18,212
Marzahn-Hellersdorf,David,13,197
Marzahn-Hellersdorf,Paul,23,179
Marzahn-Hellersdorf,Liam,11,175
Marzahn-Hellersdorf,Emma,18,170
Marzahn-Hellersdorf,Elisabeth,11,162
Marzahn-Hellersdorf,Johanna,12,155
Marzahn-Hellersdorf,Leon,13,146
